date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-03-09,Cameroon,Kenya,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1442.4488878980146,1484.6898188245625
1990-03-10,Angola,Lesotho,3.0,1.0,Friendly,Maputo,Mozambique,True,1990,20,1477.9547455938684,1482.5
1990-03-10,Mozambique,Zimbabwe,3.0,1.0,Friendly,Maputo,Mozambique,False,1990,20,1508.1506753883134,1531.3945790178182
1990-03-10,United States,Finland,2.0,1.0,Friendly,Tampa,United States,False,1990,20,1466.922338810328,1512.8886749174953
1990-03-11,Mozambique,Lesotho,3.0,0.0,Friendly,Maputo,Mozambique,False,1990,20,1521.3565496780539,1467.3037767871826
1990-03-12,Algeria,Senegal,2.0,1.0,African Cup of Nations,Algiers,Algeria,False,1990,40,1598.8545634056527,1537.791622001807
1990-03-12,Nigeria,Zambia,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1520.740478997685,1538.3840949419646
1990-03-15,Senegal,Zambia,0.0,1.0,African Cup of Nations,Algiers,Algeria,True,1990,40,1524.7458548594461,1506.861930931417
1990-03-16,Algeria,Nigeria,1.0,0.0,African Cup of Nations,Algiers,Algeria,False,1990,40,1611.9003305480135,1552.2626430082325
1990-03-16,Jamaica,Barbados,0.0,1.0,Friendly,Kingston,Jamaica,False,1990,20,1500.0,1500.0
1990-03-18,Jamaica,Barbados,1.0,0.0,Friendly,Kingston,Jamaica,False,1990,20,1488.1506753883134,1511.8493246116866
1990-03-20,Hungary,United States,2.0,0.0,Friendly,Budapest,Hungary,False,1990,20,1500.0,1476.375053322493
1990-03-20,Mexico,Uruguay,2.0,1.0,Friendly,Los Angeles,United States,True,1990,20,1515.0,1545.2694530627418
1990-03-21,Basque Country,Romania,2.0,2.0,Friendly,Bilbao,Spain,False,1990,20,1500.0,1502.778406996102
1990-03-24,Saint Martin,British Virgin Islands,3.0,0.0,CFU Caribbean Cup qualification,Marigot,Saint Martin,False,1990,30,1500.0,1500.0
