captured_at,match_id,commence_time,home,away,bookmaker,team,odds
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,gtbets,Mexico,1.47
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,gtbets,South Africa,8.34
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,gtbets,Draw,4.37
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,nordicbet,Mexico,1.42
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,nordicbet,South Africa,9.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,nordicbet,Draw,4.35
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,onexbet,Mexico,1.43
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,onexbet,South Africa,9.2
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,onexbet,Draw,4.55
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,matchbook,Mexico,1.44
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,matchbook,South Africa,9.8
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,matchbook,Draw,4.8
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betanysports,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betanysports,South Africa,8.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betanysports,Draw,4.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,codere_it,Mexico,1.41
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,codere_it,South Africa,8.6
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,codere_it,Draw,4.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_de,Mexico,1.39
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_de,South Africa,7.75
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_de,Draw,4.6
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,tipico_de,Mexico,1.37
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,tipico_de,South Africa,9.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,tipico_de,Draw,4.7
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,marathonbet,Czech Republic,2.93
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,marathonbet,South Korea,2.67
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,marathonbet,Draw,3.16
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,coolbet,Czech Republic,2.96
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,coolbet,South Korea,2.7
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,coolbet,Draw,3.18
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betfair_ex_eu,Czech Republic,2.98
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betfair_ex_eu,South Korea,2.78
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betfair_ex_eu,Draw,3.25
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,everygame,Czech Republic,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,everygame,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,everygame,Draw,3.1
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pinnacle,Czech Republic,2.93
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pinnacle,South Korea,2.68
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pinnacle,Draw,3.14
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,Czech Republic,2.92
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,South Korea,2.67
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,Draw,3.14
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pmu_fr,Czech Republic,2.8
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pmu_fr,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,pmu_fr,Draw,3.1
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,leovegas_se,Czech Republic,2.8
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,leovegas_se,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,leovegas_se,Draw,3.1
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_se,Czech Republic,2.88
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_se,South Korea,2.7
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_se,Draw,3.2
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_fr,Czech Republic,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_fr,South Korea,2.55
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_fr,Draw,3.2
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_nl,Czech Republic,2.88
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_nl,South Korea,2.7
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,unibet_nl,Draw,3.2
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,sport888,Czech Republic,2.75
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,sport888,South Korea,2.5
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,sport888,Draw,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,williamhill,Czech Republic,2.8
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,williamhill,South Korea,2.6
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,williamhill,Draw,3.0
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,Czech Republic,2.79
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,South Korea,2.53
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,Draw,3.06
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_fr,Czech Republic,2.75
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_fr,South Korea,2.55
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_fr,Draw,3.1
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betclic_fr,Czech Republic,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betclic_fr,South Korea,2.58
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betclic_fr,Draw,3.15
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,betsson,Czech Republic,2.9
